,0,1,2
century,8.8747e-06,s>c|ɛ1>e|n>n|tʃ>t|ɝ0>ur|i0>y,
cerebral,1.9721e-07,s>c|ɛ1>e|r>r|ɛ0>e|b>b|r>r|ʌ0>a|l>l,
ceremonial,9.860700000000002e-07,s>c|ɛ2>e|r>r|ɛ0>e|m>m|oʊ1>o|n>n|i0>i|ʌ0>a|l>l,
ceremonies,6.1136e-06,s>c|ɛ1>e|r>r|ɛ0>e|m>m|oʊ2>o|n>n|i0>ie|z>s,
ceremony,2.0313e-05,s>c|ɛ1>e|r>r|ɛ0>e|m>m|oʊ2>o|n>n|i0>y,
ceres,1.3805e-05,s>c|ɪ1>e|r>r|i0>e|z>s,
certain,0.00015028,s>c|ɝ1>er|t>t|ʌ0>ai|n>n,
certainly,0.00021832,s>c|ɝ1>er|t>t|ʌ0>ai|n>n|l>l|i0>y,
certainty,7.2969e-06,s>c|ɝ1>er|t>t|ʌ0>ai|n>n|t>t|i0>y,
certificate,1.1833e-06,s>c|ɝ0>er|t>t|ɪ1>i|f>f|ɪ0>i|k>c|ʌ0>a|t>te,
certificates,3.9443000000000007e-07,s>c|ɝ0>er|t>t|ɪ1>i|f>f|ɪ0>i|k>c|ʌ0>a|t>te|s>s,
certified,1.9721e-07,s>c|ɝ1>er|t>t|ɪ0>i|f>f|aɪ2>i|d>ed,
certify,5.916399999999999e-07,s>c|ɝ1>er|t>t|ɪ0>i|f>f|aɪ2>y,
cessation,5.916399999999999e-07,s>c|ɛ2>e|s>ss|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
ceylon,1.1833e-06,s>ce|i0>y|l>l|ɑ1>o|n>n,
ch,1.3805000000000002e-06,tʃ>ch,
chadwick,3.9443000000000007e-07,tʃ>ch|æ1>a|d>d|w>w|ɪ0>i|k>ck,
chafe,3.9443000000000007e-07,tʃ>ch|eɪ1>a|f>fe,
chafed,1.5777000000000002e-06,tʃ>ch|eɪ1>a|f>fe|t>d,
chaff,2.9582e-06,tʃ>ch|æ1>a|f>ff,
chafing,7.888600000000001e-07,tʃ>ch|eɪ1>a|f>f|ɪ0>i|ŋ>ng,
chagrin,5.916399999999999e-07,ʃ>ch|ʌ0>a|g>g|r>r|ɪ1>i|n>n,
chagrined,3.9443000000000007e-07,ʃ>ch|ʌ0>a|g>g|r>r|ɪ1>i|n>n|d>ed,
chain,2.6427e-05,tʃ>ch|eɪ1>ai|n>n,
chained,1.1044000000000001e-05,tʃ>ch|eɪ1>ai|n>n|d>ed,
chaining,5.916399999999999e-07,tʃ>ch|eɪ1>ai|n>n|ɪ0>i|ŋ>ng,
chains,1.6172e-05,tʃ>ch|eɪ1>ai|n>n|z>s,
chair,9.6241e-05,tʃ>ch|ɛ1>ai|r>r,
chairman,1.7749000000000002e-06,tʃ>ch|ɛ1>ai|r>r|m>m|ʌ0>a|n>n,
chairs,1.9919e-05,tʃ>ch|ɛ1>ai|r>r|z>s,
chaise,4.3387e-06,ʃ>ch|eɪ1>ai|z>se,
chalet,1.9721e-07,ʃ>ch|ʌ0>a|l>l|eɪ1>et,
chalk,5.3248e-06,tʃ>ch|ɑ1>a|k>lk,
chalked,5.916399999999999e-07,tʃ>ch|ɔ1>a|k>lk|t>ed,
challenge,5.719199999999999e-06,tʃ>ch|æ1>a|l>ll|ɛ0>e|n>n|dʒ>ge,
challenged,2.3666e-06,tʃ>ch|æ1>a|l>ll|ɛ0>e|n>n|dʒ>ge|d>d,
challenges,1.9721e-07,tʃ>ch|æ1>a|l>ll|ɛ0>e|n>n|dʒ>g|ɪ0>e|z>s,
challenging,7.888600000000001e-07,tʃ>ch|æ1>a|l>ll|ɛ0>e|n>n|dʒ>g|ɪ0>i|ŋ>ng,
chamber,5.7586999999999996e-05,tʃ>ch|eɪ1>a|m>m|b>b|ɝ0>er,
chamberlain,8.8747e-06,tʃ>ch|eɪ1>a|m>m|b>b|ɝ0>er|l>l|ʌ0>ai|n>n,
chambers,5.3248e-06,tʃ>ch|eɪ1>a|m>m|b>b|ɝ0>er|z>s,
chameleon,1.9721e-07,tʃ>ch|ʌ0>a|m>m|ɛ1>e|l>l|i0>e|ʌ0>o|n>n,
champ,1.9721e-07,tʃ>ch|æ1>a|m>m|p>p,
champagne,2.5638e-06,ʃ>ch|æ0>a|m>m|p>p|eɪ1>a|n>gne,
champion,3.9443e-06,tʃ>ch|æ1>a|m>m|p>p|i0>i|ʌ0>o|n>n,
champions,3.9443000000000007e-07,tʃ>ch|æ1>a|m>m|p>p|i0>i|ʌ0>o|n>n|z>s,
championship,1.9721e-07,tʃ>ch|æ1>a|m>m|p>p|i0>i|ʌ0>o|n>n|ʃ>sh|ɪ2>i|p>p,
champs,3.9443000000000007e-07,tʃ>ch|æ1>a|m>m|p>p|s>s,
chan,1.1833e-06,tʃ>ch|æ1>a|n>n,
chance,0.00017158,tʃ>ch|æ1>a|n>n|s>ce,
chancellor,1.5777000000000002e-06,tʃ>ch|æ1>a|n>n|s>ce|l>ll|ɝ0>or,
chances,9.8607e-06,tʃ>ch|æ1>a|n>n|s>c|ɪ0>e|z>s,
chancy,5.916399999999999e-07,tʃ>ch|æ1>a|n>n|s>c|i0>y,
chandelier,2.1694e-06,ʃ>ch|æ0>a|n>n|d>d|ɛ0>e|l>l|ɪ1>ie|r>r,
chandeliers,1.9721e-07,ʃ>ch|æ2>a|n>n|d>d|ɛ0>e|l>l|ɪ1>ie|r>r|z>s,
chandler,3.9443000000000007e-07,tʃ>ch|æ1>a|n>n|d>d|l>l|ɝ0>er,
chang,1.9721e-07,tʃ>ch|æ1>a|ŋ>ng,
change,0.00014101,tʃ>ch|eɪ1>a|n>n|dʒ>ge,
changeable,1.9721e-07,tʃ>ch|eɪ1>a|n>n|dʒ>ge|ʌ0>a|b>b|ʌ0;l>le,
changed,0.00012109,tʃ>ch|eɪ1>a|n>n|dʒ>ge|d>d,
changes,1.8933e-05,tʃ>ch|eɪ1>a|n>n|dʒ>g|ɪ0>e|z>s,
changing,1.7749000000000002e-05,tʃ>ch|eɪ1>a|n>n|dʒ>g|ɪ0>i|ŋ>ng,
channel,8.6774e-06,tʃ>ch|æ1>a|n>nn|ɛ0>e|l>l,
channels,1.7749000000000002e-06,tʃ>ch|æ1>a|n>nn|ɛ0>e|l>l|z>s,
channing,5.522000000000001e-06,tʃ>ch|æ1>a|n>nn|ɪ0>i|ŋ>ng,
chant,1.3805000000000002e-06,tʃ>ch|æ1>a|n>n|t>t,
chanted,3.5499e-06,tʃ>ch|æ1>a|n>n|t>t|ɪ0>e|d>d,
chantilly,1.9721e-07,ʃ>ch|æ2>a|n>n|t>t|ɪ1>i|l>ll|i0>y,
chanting,2.5638e-06,tʃ>ch|æ1>a|n>n|t>t|ɪ0>i|ŋ>ng,
chaos,1.7749000000000002e-06,k>ch|eɪ1>a|ɑ0>o|s>s,
chaotic,7.888600000000001e-07,k>ch|eɪ0>a|ɑ1>o|t>t|ɪ0>i|k>c,
chap,2.406e-05,tʃ>ch|æ1>a|p>p,
chapel,1.1044000000000001e-05,tʃ>ch|æ1>a|p>p|ɛ0>e|l>l,
chapelle,1.9721e-07,ʃ>ch|ʌ0>a|p>p|ɛ1>e|l>lle,
chaperone,1.9721e-07,ʃ>ch|æ1>a|p>p|ɝ0>er|oʊ2>o|n>ne,
chaplain,6.5080999999999996e-06,tʃ>ch|æ1>a|p>p|l>l|ʌ0>ai|n>n,
chaplains,1.9721e-07,tʃ>ch|æ1>a|p>p|l>l|ʌ0>ai|n>n|z>s,
chapman,1.5777000000000002e-06,tʃ>ch|æ1>a|p>p|m>m|ʌ0>a|n>n,
chaps,5.1276e-06,tʃ>ch|æ1>a|p>p|s>s,
chapter,0.00021516,tʃ>ch|æ1>a|p>p|t>t|ɝ0>er,
chapters,2.5638e-06,tʃ>ch|æ1>a|p>p|t>t|ɝ0>er|z>s,
char,1.9721e-07,tʃ>ch|ɑ1>a|r>r,
character,3.7668e-05,k>ch|ɛ1>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er,
characteristic,6.3109e-06,k>ch|ɛ2>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|ɪ1>i|s>s|t>t|ɪ0>i|k>c,
characteristically,7.888600000000001e-07,k>ch|ɛ2>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|ɪ1>i|s>s|t>t|ɪ0>i|k>ca|l>ll|i0>y,
characteristics,3.7470999999999997e-06,k>ch|ɛ2>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|ɪ1>i|s>s|t>t|ɪ0>i|k>c|s>s,
characterization,1.9721e-07,k>ch|ɛ2>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|ɪ0>i|z>z|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
characterized,9.860700000000002e-07,k>ch|ɛ1>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|aɪ2>i|z>ze|d>d,
characterizes,1.9721e-07,k>ch|ɛ1>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|aɪ2>i|z>z|ɛ0>e|z>s,
characters,1.203e-05,k>ch|ɛ1>a|r>r|ʌ0>a|k>c|t>t|ɝ0>er|z>s,
charade,1.9721e-07,ʃ>ch|ɝ0>ar|eɪ1>a|d>de,
charades,3.9443000000000007e-07,ʃ>ch|ɝ0>ar|eɪ1>a|d>de|z>s,
charcoal,2.7610000000000003e-06,tʃ>ch|ɑ1>a|r>r|k>c|oʊ2>oa|l>l,
charge,4.0035e-05,tʃ>ch|ɑ1>a|r>r|dʒ>ge,
charged,8.4802e-06,tʃ>ch|ɑ1>a|r>r|dʒ>ge|d>d,
charger,1.9721e-06,tʃ>ch|ɑ1>a|r>r|dʒ>g|ɝ0>er,
chargers,9.860700000000002e-07,tʃ>ch|ɑ1>a|r>r|dʒ>g|ɝ0>er|z>s,
charges,2.7610000000000003e-06,tʃ>ch|ɑ1>a|r>r|dʒ>g|ɪ0>e|z>s,
charging,3.3526e-06,tʃ>ch|ɑ1>a|r>r|dʒ>g|ɪ0>i|ŋ>ng,
chariot,1.7552e-05,tʃ>ch|ɛ1>a|r>r|i0>i|ʌ0>o|t>t,
chariots,1.1833e-06,tʃ>ch|ɛ1>a|r>r|i0>i|ʌ0>o|t>t|s>s,
charitable,5.1276e-06,tʃ>ch|æ1>a|r>r|ɪ0>i|t>t|ʌ0>a|b>b|ʌ0;l>le,
charitably,5.916399999999999e-07,tʃ>ch|ɛ1>a|r>r|ɪ0>i|t>t|ʌ0>a|b>b|l>l|i0>y,
charities,1.1833e-06,tʃ>ch|ɛ1>a|r>r|ɪ0>i|t>t|i0>ie|z>s,
charity,2.0313e-05,tʃ>ch|ɛ1>a|r>r|ɪ0>i|t>t|i0>y,
charlatans,1.9721e-07,ʃ>ch|ɑ1>a|r>r|l>l|ʌ0>a|t>t|ʌ0>a|n>n|z>s,
charlemagne,5.916399999999999e-07,ʃ>ch|ɑ1>a|r>r|l>l|ɛ0>e|m>m|eɪ2>a|n>gne,
charles,1.8735e-05,tʃ>ch|ɑ1>a|r>r|ʌ0;l>le|z>s,
charleston,1.9721e-07,tʃ>ch|ɑ1>a|r>r|ʌ0;l>le|s>s|t>t|ʌ0>o|n>n,
charley,6.9025e-06,tʃ>ch|ɑ1>a|r>r|l>l|i0>ey,
charlie,4.1809e-05,tʃ>ch|ɑ1>a|r>r|l>l|i0>ie,
charlotte,3.9245999999999997e-05,ʃ>ch|ɑ1>a|r>r|l>l|ʌ0>o|t>tte,
charlottetown,2.1890999999999998e-05,ʃ>ch|ɑ1>a|r>r|l>l|ʌ0>o|t>tte|t>t|aʊ2>ow|n>n,
charm,4.319e-05,tʃ>ch|ɑ1>a|r>r|m>m,
charmed,1.5185999999999998e-05,tʃ>ch|ɑ1>a|r>r|m>m|d>ed,
charmer,1.9721e-07,tʃ>ch|ɑ1>a|r>r|m>m|ɝ0>er,
charming,7.4153e-05,tʃ>ch|ɑ1>a|r>r|m>m|ɪ0>i|ŋ>ng,
charmingly,2.5638e-06,tʃ>ch|ɑ1>a|r>r|m>m|ɪ0>i|ŋ>ng|l>l|i0>y,
charms,1.2819e-05,tʃ>ch|ɑ1>a|r>r|m>m|z>s,
charred,7.888600000000001e-07,tʃ>ch|ɑ1>a|r>rr|d>ed,
chart,6.9025e-06,tʃ>ch|ɑ1>a|r>r|t>t,
charter,7.888600000000001e-07,tʃ>ch|ɑ1>a|r>r|t>t|ɝ0>er,
chartered,1.9721e-07,tʃ>ch|ɑ1>a|r>r|t>t|ɝ0>er|d>ed,
charters,1.9721e-07,tʃ>ch|ɑ1>a|r>r|t>t|ɝ0>er|z>s,
chary,1.9721e-07,tʃ>ch|ɑ1>a|r>r|i0>y,
chas,3.9443000000000007e-07,tʃ>ch|ɑ1>a|z>s,
chase,2.5441e-05,tʃ>ch|eɪ1>a|s>se,
chased,2.623e-05,tʃ>ch|eɪ1>a|s>se|t>d,
chases,5.916399999999999e-07,tʃ>ch|eɪ1>a|s>s|ɪ0>e|z>s,
chasing,1.3607999999999999e-05,tʃ>ch|eɪ1>a|s>s|ɪ0>i|ŋ>ng,
chasm,4.9304e-06,k>ch|æ1>a|z>s|ʌ0;m>m,
chaste,5.916399999999999e-07,tʃ>ch|eɪ1>a|s>s|t>te,
chastened,2.3666e-06,tʃ>ch|eɪ1>a|s>s|ʌ0>te|n>n|d>ed,
chastise,5.916399999999999e-07,tʃ>ch|æ0>a|s>s|t>t|aɪ1>i|z>se,
chastised,7.888600000000001e-07,tʃ>ch|æ0>a|s>s|t>t|aɪ1>i|z>se|d>d,
chat,1.3213e-05,tʃ>ch|æ1>a|t>t,
chateau,2.3666e-06,ʃ>ch|æ0>a|t>t|oʊ1>eau,
chats,7.888600000000001e-07,tʃ>ch|æ1>a|t>t|s>s,
chatted,6.1136e-06,tʃ>ch|æ1>a|t>tt|ɪ0>e|d>d,
chatter,9.6635e-06,tʃ>ch|æ1>a|t>tt|ɝ0>er,
chattering,1.2819e-05,tʃ>ch|æ1>a|t>tt|ɝ0>er|ɪ0>i|ŋ>ng,
chatting,6.1136e-06,tʃ>ch|æ1>a|t>tt|ɪ0>i|ŋ>ng,
chauncey,1.1833e-06,tʃ>ch|ɔ1>au|n>n|s>ce|i0>y,
cheap,1.3411e-05,tʃ>ch|i1>ea|p>p,
cheaper,1.5777000000000002e-06,tʃ>ch|i1>ea|p>p|ɝ0>er,
cheapest,3.9443000000000007e-07,tʃ>ch|i1>ea|p>p|ɛ0>e|s>s|t>t,
cheaply,1.3805000000000002e-06,tʃ>ch|i1>ea|p>p|l>l|i0>y,
cheapness,3.9443000000000007e-07,tʃ>ch|i1>ea|p>p|n>n|ɛ0>e|s>ss,
cheat,6.7053e-06,tʃ>ch|i1>ea|t>t,
cheated,7.6914e-06,tʃ>ch|i1>ea|t>t|ɪ0>e|d>d,
cheating,2.5638e-06,tʃ>ch|i1>ea|t>t|ɪ0>i|ŋ>ng,
cheats,7.888600000000001e-07,tʃ>ch|i1>ea|t>t|s>s,
check,9.269099999999999e-06,tʃ>ch|ɛ1>e|k>ck,
checked,1.4199e-05,tʃ>ch|ɛ1>e|k>ck|t>ed,
checker,1.9721e-07,tʃ>ch|ɛ1>e|k>ck|ɝ0>er,
checkerboard,1.9721e-07,tʃ>ch|ɛ1>e|k>ck|ɝ0>er|b>b|ɔ2>oa|r>r|d>d,
checkered,5.916399999999999e-07,tʃ>ch|ɛ1>e|k>ck|ɝ0>er|d>ed,
checkers,1.9721e-06,tʃ>ch|ɛ1>e|k>ck|ɝ0>er|z>s,
checking,1.3805000000000002e-06,tʃ>ch|ɛ1>e|k>ck|ɪ0>i|ŋ>ng,
checks,9.860700000000002e-07,tʃ>ch|ɛ1>e|k>ck|s>s,
chee,1.9721e-07,tʃ>ch|i1>ee,
cheek,4.9895e-05,tʃ>ch|i1>ee|k>k,
cheeked,5.916399999999999e-07,tʃ>ch|i1>ee|k>k|t>ed,
cheeks,8.283e-05,tʃ>ch|i1>ee|k>k|s>s,
cheeky,5.916399999999999e-07,tʃ>ch|i1>ee|k>k|i0>y,
cheer,3.9048e-05,tʃ>ch|ɪ1>ee|r>r,
cheered,2.4257e-05,tʃ>ch|ɪ1>ee|r>r|d>ed,
cheerful,5.8178000000000004e-05,tʃ>ch|ɪ1>ee|r>r|f>f|ʌ0>u|l>l,
cheerfully,3.6682e-05,tʃ>ch|ɪ1>ee|r>r|f>f|ʌ0>u|l>ll|i0>y,
cheering,1.2819e-05,tʃ>ch|ɪ1>ee|r>r|ɪ0>i|ŋ>ng,
cheers,5.522000000000001e-06,tʃ>ch|ɪ1>ee|r>r|z>s,
cheery,1.7552e-05,tʃ>ch|ɪ1>ee|r>r|i0>y,
cheese,1.558e-05,tʃ>ch|i1>ee|z>se,
cheeses,9.860700000000002e-07,tʃ>ch|i1>ee|z>s|ɪ0>e|z>s,
chef,5.916399999999999e-07,ʃ>ch|ɛ1>e|f>f,
chefs,1.9721e-07,ʃ>ch|ɛ1>e|f>f|s>s,
chemical,1.3805000000000002e-06,k>ch|ɛ1>e|m>m|ɪ0>i|k>c|ʌ0>a|l>l,
chemise,1.9721e-07,ʃ>ch|ɛ0>e|m>m|i1>i|z>se,
chemist,1.9721e-07,k>ch|ɛ1>e|m>m|ɪ0>i|s>s|t>t,
chemistry,1.3805000000000002e-06,k>ch|ɛ1>e|m>m|ɪ0>i|s>s|t>t|r>r|i0>y,
cherie,1.9721e-07,ʃ>ch|ɛ1>e|r>r|i0>ie,
cherish,4.7331e-06,tʃ>ch|ɛ1>e|r>r|ɪ0>i|ʃ>sh,
cherished,1.2819e-05,tʃ>ch|ɛ1>e|r>r|ɪ0>i|ʃ>sh|t>ed,
cherishes,1.9721e-07,tʃ>ch|ɛ1>e|r>r|ɪ0>i|ʃ>sh|ɪ0>e|z>s,
cherries,7.2969e-06,tʃ>ch|ɛ1>e|r>rr|i0>ie|z>s,
cherry,2.1496e-05,tʃ>ch|ɛ1>e|r>rr|i0>y,
cherub,2.5638e-06,tʃ>ch|ɛ1>e|r>r|ʌ0>u|b>b,
cherubs,1.3805000000000002e-06,tʃ>ch|ɛ1>e|r>r|ʌ0>u|b>b|z>s,
chesapeake,5.916399999999999e-07,tʃ>ch|ɛ1>e|s>s|ʌ0>a|p>p|i2>ea|k>ke,
cheshire,1.5777000000000002e-06,tʃ>ch|ɛ1>e|ʃ>shi|ɝ0>re,
chess,1.3805000000000002e-06,tʃ>ch|ɛ1>e|s>ss,
chessboard,3.9443000000000007e-07,tʃ>ch|ɛ1>e|s>ss|b>b|ɔ2>oa|r>r|d>d,
chest,6.1531e-05,tʃ>ch|ɛ1>e|s>s|t>t,
chester,4.812e-05,tʃ>ch|ɛ1>e|s>s|t>t|ɝ0>er,
chesterfield,1.9721e-07,tʃ>ch|ɛ1>e|s>s|t>t|ɝ0>er|f>f|i2>ie|l>l|d>d,
chestnut,1.7947e-05,tʃ>ch|ɛ1>e|s>s|t>t|n>n|ʌ2>u|t>t,
chestnuts,5.522000000000001e-06,tʃ>ch|ɛ1>e|s>st|n>n|ʌ0>u|t>t|s>s,
chests,6.3109e-06,tʃ>ch|ɛ1>e|s>s|t>t|s>s,
chew,5.3248e-06,tʃ>ch|u1>ew,
chewed,4.7331e-06,tʃ>ch|u1>ew|d>ed,
chewing,9.0719e-06,tʃ>ch|u1>ew|ɪ0>i|ŋ>ng,
chews,3.9443000000000007e-07,tʃ>ch|u1>ew|z>s,
chi,1.9721e-07,k>ch|aɪ1>i,
chicago,1.5777000000000002e-06,ʃ>ch|ɪ0>i|k>c|ɑ1>a|g>g|oʊ2>o,
chichester,1.9721e-07,tʃ>ch|ɪ1>i|tʃ>ch|ɛ0>e|s>s|t>t|ɝ0>er,
chick,2.9582e-06,tʃ>ch|ɪ1>i|k>ck,
chicken,2.6031999999999997e-05,tʃ>ch|ɪ1>i|k>ck|ɛ0>e|n>n,
chickens,1.4594000000000001e-05,tʃ>ch|ɪ1>i|k>ck|ɛ0>e|n>n|z>s,
chicks,1.5777000000000002e-06,tʃ>ch|ɪ1>i|k>ck|s>s,
chide,9.860700000000002e-07,tʃ>ch|aɪ1>i|d>de,
chiding,9.860700000000002e-07,tʃ>ch|aɪ1>i|d>d|ɪ0>i|ŋ>ng,
chief,5.6995e-05,tʃ>ch|i1>ie|f>f,
chiefly,5.522000000000001e-06,tʃ>ch|i1>ie|f>f|l>l|i0>y,
chiefs,2.1694e-06,tʃ>ch|i1>ie|f>f|s>s,
chieftain,1.7749000000000002e-06,tʃ>ch|i1>ie|f>f|t>t|ʌ0>ai|n>n,
chiffon,2.7610000000000003e-06,ʃ>ch|ɪ0>i|f>ff|ɑ1>o|n>n,
child,0.00044748,tʃ>ch|aɪ1>i|l>l|d>d,
childe,1.9721e-07,tʃ>ch|ɪ1>i|l>l|d>de,
childhood,2.1890999999999998e-05,tʃ>ch|aɪ1>i|l>l|d>d|h>h|ʊ2>oo|d>d,
childish,2.4257e-05,tʃ>ch|aɪ1>i|l>l|d>d|ɪ0>i|ʃ>sh,
childless,2.7610000000000003e-06,tʃ>ch|aɪ1>i|l>l|d>d|l>l|ɛ0>e|s>ss,
childlike,2.7610000000000003e-06,tʃ>ch|aɪ1>i|l>l|d>d|l>l|aɪ2>i|k>ke,
children,0.00051867,tʃ>ch|ɪ1>i|l>l|d>d|r>r|ɛ0>e|n>n,
chill,2.5046e-05,tʃ>ch|ɪ1>i|l>ll,
chilled,7.8886e-06,tʃ>ch|ɪ1>i|l>ll|d>ed,
chillies,1.9721e-07,tʃ>ch|ɪ1>i|l>ll|i0>ie|z>s,
chilling,1.1833e-06,tʃ>ch|ɪ1>i|l>ll|ɪ0>i|ŋ>ng,
chills,2.7610000000000003e-06,tʃ>ch|ɪ1>i|l>ll|z>s,
chilly,1.2227e-05,tʃ>ch|ɪ1>i|l>ll|i0>y,
chime,3.3526e-06,tʃ>ch|aɪ1>i|m>me,
chimed,9.860700000000002e-07,tʃ>ch|aɪ1>i|m>me|d>d,
chimes,2.3666e-06,tʃ>ch|aɪ1>i|m>me|z>s,
chimney,3.254e-05,tʃ>ch|ɪ1>i|m>m|n>n|i0>ey,
chimneys,6.9025e-06,tʃ>ch|ɪ1>i|m>m|n>n|i0>ey|z>s,
chimpanzee,1.9721e-07,tʃ>ch|ɪ0>i|m>m|p>p|æ1>a|n>n|z>z|i0>ee,
chin,3.6485e-05,tʃ>ch|ɪ1>i|n>n,
china,2.7806999999999997e-05,tʃ>ch|aɪ1>i|n>n|ʌ0>a,
chinese,1.0058e-05,tʃ>ch|aɪ0>i|n>n|i1>e|z>se,
chink,4.7331e-06,tʃ>ch|ɪ1>i|ŋ>n|k>k,
chinks,1.3805000000000002e-06,tʃ>ch|ɪ1>i|ŋ>n|k>k|s>s,
chinook,1.5777000000000002e-06,tʃ>ch|ɪ0>i|n>n|ʊ1>oo|k>k,
chip,2.9582e-06,tʃ>ch|ɪ1>i|p>p,
chipped,3.9443000000000007e-07,tʃ>ch|ɪ1>i|p>pp|t>ed,
chipper,3.9443000000000007e-07,tʃ>ch|ɪ1>i|p>pp|ɝ0>er,
chipping,3.9443000000000007e-07,tʃ>ch|ɪ1>i|p>pp|ɪ0>i|ŋ>ng,
chips,6.9025e-06,tʃ>ch|ɪ1>i|p>p|s>s,
chiron,2.7610000000000003e-06,tʃ>ch|aɪ1>i|r>r|ʌ0>o|n>n,
chirp,1.203e-05,tʃ>ch|ɝ1>ir|p>p,
chirping,4.3387e-06,tʃ>ch|ɝ1>ir|p>p|ɪ0>i|ŋ>ng,
chisel,2.3666e-06,tʃ>ch|ɪ1>i|z>s|ɛ0>e|l>l,
chisels,3.9443000000000007e-07,tʃ>ch|ɪ1>i|z>s|ɛ0>e|l>l|z>s,
chit,7.888600000000001e-07,tʃ>ch|ɪ1>i|t>t,
chivalry,1.3805000000000002e-06,ʃ>ch|ɪ1>i|v>v|ʌ0>a|l>l|r>r|i0>y,
chloe,8.0858e-06,k>ch|l>l|oʊ1>o|i0>e,
chloroform,7.888600000000001e-07,k>ch|l>l|ɔ1>o|r>r|ʌ0>o|f>f|ɔ2>o|r>r|m>m,
chock,7.888600000000001e-07,tʃ>ch|ɑ1>o|k>ck,
chocolate,6.7053e-06,tʃ>ch|ɔ1>o|k>co|l>l|ʌ0>a|t>te,
chocolates,9.860700000000002e-07,tʃ>ch|ɔ1>o|k>co|l>l|ʌ0>a|t>te|s>s,
choice,3.254e-05,tʃ>ch|ɔɪ1>oi|s>ce,
choices,1.9721e-07,tʃ>ch|ɔɪ1>oi|s>c|ɪ0>e|z>s,
choicest,2.5638e-06,tʃ>ch|ɔɪ1>oi|s>c|ɛ0>e|s>s|t>t,
choir,1.0847e-05,k>ch|w>o|aɪ1>i|ɝ0>r,
choke,8.4802e-06,tʃ>ch|oʊ1>o|k>ke,
choked,2.1102e-05,tʃ>ch|oʊ1>o|k>ke|t>d,
chokes,3.9443000000000007e-07,tʃ>ch|oʊ1>o|k>ke|s>s,
choking,8.4802e-06,tʃ>ch|oʊ1>o|k>k|ɪ0>i|ŋ>ng,
cholera,1.3805000000000002e-06,k>ch|ɑ1>o|l>l|ɝ0>er|ʌ0>a,
choleric,5.916399999999999e-07,k>ch|ɑ1>o|l>l|ɝ0>er|ɪ0>i|k>c,
choo,5.916399999999999e-07,tʃ>ch|u1>oo,
choose,6.1925e-05,tʃ>ch|u1>oo|z>se,
chooses,4.5359e-06,tʃ>ch|u1>oo|z>s|ɪ0>e|z>s,
choosing,9.0719e-06,tʃ>ch|u1>oo|z>s|ɪ0>i|ŋ>ng,
chop,4.5359e-06,tʃ>ch|ɑ1>o|p>p,
chopped,4.3387e-06,tʃ>ch|ɑ1>o|p>pp|t>ed,
chopper,3.9443000000000007e-07,tʃ>ch|ɑ1>o|p>pp|ɝ0>er,
chopping,2.7610000000000003e-06,tʃ>ch|ɑ1>o|p>pp|ɪ0>i|ŋ>ng,
choppy,3.9443000000000007e-07,tʃ>ch|ɑ1>o|p>pp|i0>y,
chops,3.5499e-06,tʃ>ch|ɑ1>o|p>p|s>s,
choral,3.9443000000000007e-07,k>ch|ɔ1>o|r>r|ʌ0>a|l>l,
chord,1.1833e-06,k>ch|ɔ1>o|r>r|d>d,
chords,5.916399999999999e-07,k>ch|ɔ1>o|r>r|d>d|z>s,
chore,1.5777000000000002e-06,tʃ>ch|ɔ1>o|r>re,
chores,7.0997e-06,tʃ>ch|ɔ1>o|r>re|z>s,
chortled,1.9721e-07,tʃ>ch|ɔ1>o|r>r|t>t|ʌ0;l>le|d>d,
chorus,1.9524e-05,k>ch|ɔ1>o|r>r|ʌ0>u|s>s,
choruses,1.1833e-06,k>ch|ɔ1>o|r>r|ʌ0>u|s>s|ɪ0>e|z>s,
chose,3.471e-05,tʃ>ch|oʊ1>o|z>se,
chosen,3.2343e-05,tʃ>ch|oʊ1>o|z>s|ɛ0>e|n>n,
chowder,9.860700000000002e-07,tʃ>ch|aʊ1>ow|d>d|ɝ0>er,
chris,3.5499e-06,k>ch|r>r|ɪ1>i|s>s,
christ,2.5638e-06,k>ch|r>r|aɪ1>i|s>s|t>t,
christchurch,1.9721e-07,k>ch|r>r|aɪ1>i|s>s|t>t|tʃ>ch|ɝ0>ur|tʃ>ch,
christen,5.916399999999999e-07,k>ch|r>r|ɪ1>i|s>s|ʌ0>te|n>n,
christendom,7.888600000000001e-07,k>ch|r>r|ɪ1>i|s>s|ʌ0>te|n>n|d>d|ʌ0>o|m>m,
christened,3.9443e-06,k>ch|r>r|ɪ1>i|s>s|ʌ0>te|n>n|d>ed,
christening,5.9164e-06,k>ch|r>r|ɪ1>i|s>s|ʌ0>te|n>n|ɪ0>i|ŋ>ng,
christian,2.8991e-05,k>ch|r>r|ɪ1>i|s>s|tʃ>ti|ʌ0>a|n>n,
